MASTER,MUJER,HOMBRE,TOTAL
Máster Doble: Máster Universitario en Estructuras + Máster Universitario en Rehabilitación Arquitectónica,1,5,6
"Máster Doble: Máster Universitario en Ingenierías de Caminos, Canales y Puertos + Máster Universitario en Economía/Economics",9,22,31
"Máster Doble: Máster Universitario en Ingenierías de Caminos, Canales y Puertos + Máster Universitario en Estructuras",2,7,9
"Máster Doble: Máster Universitario en Ingenierías de Caminos, Canales y Puertos + Máster Universitario en Hidráulica Ambiental",6,15,21
"Máster Doble: Máster Universitario en Ingenierías de Caminos, Canales y Puertos + Máster Universitario en Técnicas y Ciencias de la Calidad del Agua (IDEA)",0,5,5
Máster Universitario en Abogací­a,140,94,234
Máster Universitario en Análisis Biológico y Diagnóstico de Laboratorio,14,6,20
"Máster Universitario en Análisis y Gestión del Territorio. Planificación, Gobernanza y Liderazgo Territorial",14,25,39
Máster Universitario en Antropologí­a Fí­sica y Forense,45,23,68
Máster Universitario en Arqueologí­a,38,26,64
Máster Universitario en Artes Visuales y Educación. Un enfoque Construccionista,23,4,27
Máster Universitario en Arquitectura,29,43,72
"Máster Universitario en Asesoría Laboral, Fiscal y Jurídica de la Empresa",45,22,67
Máster Universitario en Atención Farmacéutica ,5,3,8
Máster Universitario en Altos Estudios Internacionales y Europeos,18,12,30
Máster Universitario en Auditorí­a,13,10,23
Máster Universitario en Avances en Biologí­a Agraria y Acuicultura,13,17,30
Máster Universitario en Avances en Calidad y Tecnologí­a Alimentaria,32,10,42
Máster Universitario en Avances en Radiología Diagnóstica y Terapéutica y Medicina Fí­sica,6,11,17
Máster Universitario en Biología Agraria y Acuicultura,13,17,30
Máster Universitario en Biología Molecular Aplicada a Empresas Biotecnológicas (Bioenterprise),16,11,27
Máster Universitario en Biomedicina Regenerativa,20,11,31
Máster Universitario en Biotecnología,16,25,41
Máster Universitario en Ciencia de Datos e Ingeniería de Computadores,17,69,86
Máster Universitario en Ciencia y Tecnología en Patrimonio Arquitectónico,11,8,19
"Máster Universitario en Ciencias y Tecnologías Químicas, KHEMIA",11,14,25
Máster Universitario en Ciencias Odontológicas,5,7,12
"Máster Universitario en Condicionantes Genéticos, Nutricionales y Ambientales del Crecimiento y Desarrollo",118,17,135
"Máster Universitario en Conservación, Gestión y Restauración de la Biodiversidad",14,16,30
"Máster Universitario en Cooperación al Desarrollo, Gestión Pública y de las ONGs",63,17,80
Máster Universitario en Criminalidad e Intervención Social en Menores,34,3,17
Máster Universitario en Cuidados de Salud para la Promoción de la Autonomí­a de las Personas y la Atención a los Procesos del Fin de la Vida,21,14,35
"Máster Universitario en Cultura de Paz, Conflictos, Educación y Derechos Humanos",35,19,54
Máster Universitario en Culturas Árabe y Hebrea: Al-Andalus y Mundo Árabe Contemporáneo,18,20,38
Máster Universitario en Derecho de los Negocios,7,13,20
"Máster Universitario en Derechos Fundamentales en Pespectiva Nacional, Supranacional y Global",4,3,7
Máster Universitario en Desarrollo del Software,0,18,18
"Máster Universitario en Dibujo - Creación, Producción y Difusión",10,7,17
Máster Universitario en Didáctica de la Matemática,26,17,43
Máster Universitario en Dirección y Gestión Pública,7,8,15
Máster Universitario en Diversidad Cultural. Un Enfoque Multidisciplinar y Transfronterizo,15,9,24
Máster Universitario en Economía y Organización de Empresas,14,7,21
Máster Universitario en Economía/Economics,16,15,31
Máster Universitario en Educación Musical: Una Perspectiva Multidisciplinar,16,9,25
Máster Universitario en Educador / Educadora Ambiental,4,5,9
"Máster Universitario en Enseñanza de Español Lengua Extranjera: Lengua, Cultura y Metodologí­a",24,8,32
Máster Universitario en Estadística Aplicada,31,44,75
Máster Universitario en Estructuras,3,10,13
Máster Universitario en Estudios de Asia Oriental,18,9,27
Máster Universitario en Estudios Latinoamericanos: Cultura y Gestión,18,11,29
Máster Universitario en Estudios Literarios y Teatrales,23,9,32
Máster Universitario en Estudios Superiores de Lengua Española,26,4,30
Máster Universitario en Filosofí­a Contemporánea,5,14,19
Máster Universitario en Fí­sica y Matemáticas - FISYMAT,10,25,35
Máster Universitario en Genética y Evolución,29,14,43
Máster Universitario en Geofí­sica y Meteorologí­a,14,13,27
Máster Universitario en Geologí­a Aplicada a los Recursos Minerales y Energéticos (GEOREC),5,15,20
"Máster Universitario en Gerontologí­a, Dependencia y Protección de los Mayores",39,6,45
Máster Universitario en Gestión y Seguridad Integral en la Edificación,16,13,29
